file_name,ticker,company_name,fiscal_quarter,fiscal_year,document_type,publish_date,volume_path
APXR_Q2_2026_analyst_note.md,APXR,Apex Retail Group,Q2,2026,note,2026-08-11,/Volumes/blue_harbor/research/raw_documents/APXR_Q2_2026_analyst_note.md
APXR_Q2_2026_earnings_call.md,APXR,Apex Retail Group,Q2,2026,call,2026-08-10,/Volumes/blue_harbor/research/raw_documents/APXR_Q2_2026_earnings_call.md
APXR_Q2_2026_earnings_report.md,APXR,Apex Retail Group,Q2,2026,report,2026-08-10,/Volumes/blue_harbor/research/raw_documents/APXR_Q2_2026_earnings_report.md
EVRG_Q2_2026_analyst_note.md,EVRG,Evergreen Energy Systems,Q2,2026,note,2026-08-03,/Volumes/blue_harbor/research/raw_documents/EVRG_Q2_2026_analyst_note.md
EVRG_Q2_2026_earnings_call.md,EVRG,Evergreen Energy Systems,Q2,2026,call,2026-08-02,/Volumes/blue_harbor/research/raw_documents/EVRG_Q2_2026_earnings_call.md
EVRG_Q2_2026_earnings_report.md,EVRG,Evergreen Energy Systems,Q2,2026,report,2026-08-02,/Volumes/blue_harbor/research/raw_documents/EVRG_Q2_2026_earnings_report.md
MDHN_Q2_2026_analyst_note.md,MDHN,Meridian Health Systems,Q2,2026,note,2026-07-31,/Volumes/blue_harbor/research/raw_documents/MDHN_Q2_2026_analyst_note.md
MDHN_Q2_2026_earnings_call.md,MDHN,Meridian Health Systems,Q2,2026,call,2026-07-30,/Volumes/blue_harbor/research/raw_documents/MDHN_Q2_2026_earnings_call.md
MDHN_Q2_2026_earnings_report.md,MDHN,Meridian Health Systems,Q2,2026,report,2026-07-30,/Volumes/blue_harbor/research/raw_documents/MDHN_Q2_2026_earnings_report.md
NOVA_Q2_2026_analyst_note.md,NOVA,NovaChip Technologies,Q2,2026,note,2026-07-25,/Volumes/blue_harbor/research/raw_documents/NOVA_Q2_2026_analyst_note.md
NOVA_Q2_2026_earnings_call.md,NOVA,NovaChip Technologies,Q2,2026,call,2026-07-24,/Volumes/blue_harbor/research/raw_documents/NOVA_Q2_2026_earnings_call.md
NOVA_Q2_2026_earnings_report.md,NOVA,NovaChip Technologies,Q2,2026,report,2026-07-24,/Volumes/blue_harbor/research/raw_documents/NOVA_Q2_2026_earnings_report.md
VTXI_Q2_2026_analyst_note.md,VTXI,Vertex Industrial Technologies,Q2,2026,note,2026-08-07,/Volumes/blue_harbor/research/raw_documents/VTXI_Q2_2026_analyst_note.md
VTXI_Q2_2026_earnings_call.md,VTXI,Vertex Industrial Technologies,Q2,2026,call,2026-08-06,/Volumes/blue_harbor/research/raw_documents/VTXI_Q2_2026_earnings_call.md
VTXI_Q2_2026_earnings_report.md,VTXI,Vertex Industrial Technologies,Q2,2026,report,2026-08-06,/Volumes/blue_harbor/research/raw_documents/VTXI_Q2_2026_earnings_report.md
