ticker,effective_date,quarter,version,guidance_text,guidance_action
NOVA,2026-04-28,Q1,prior,2026 revenue of $5.4-$5.6 billion with adjusted gross margin near 58%,initial/reference
NOVA,2026-07-24,Q2,current,2026 revenue of $5.0-$5.2 billion and adjusted gross margin of 55%-56%,lowered
EVRG,2026-04-28,Q1,prior,2026 adjusted EBITDA of $1.80-$1.90 billion,initial/reference
EVRG,2026-08-02,Q2,current,2026 adjusted EBITDA of $1.60-$1.70 billion,lowered
APXR,2026-04-28,Q1,prior,2026 revenue growth of 4%-6% and adjusted EPS of $7.10-$7.40,initial/reference
APXR,2026-08-10,Q2,current,2026 revenue growth of 4%-6% and adjusted EPS of $7.10-$7.40,maintained
MDHN,2026-04-28,Q1,prior,2026 revenue growth of 6%-8% and adjusted EPS of $5.90-$6.20,initial/reference
MDHN,2026-07-30,Q2,current,2026 revenue growth of 8%-10% and adjusted EPS of $6.20-$6.45,raised
VTXI,2026-04-28,Q1,prior,2026 revenue of $7.1-$7.3 billion and adjusted EPS of $9.00-$9.40,initial/reference
VTXI,2026-08-06,Q2,current,2026 revenue of $7.1-$7.3 billion and adjusted EPS of $9.00-$9.40,maintained
