as_of_date,fund_id,ticker,shares,market_price_usd,market_value_usd,portfolio_weight_pct
2026-06-30,BHGF,NOVA,1090909,110.0,120000000,4.8
2026-06-30,BHCE,NOVA,636364,110.0,70000000,2.8
2026-06-30,BHSO,NOVA,272727,110.0,30000000,1.2
2026-06-30,BHGF,EVRG,500000,80.0,40000000,1.6
2026-06-30,BHCE,EVRG,375000,80.0,30000000,1.2
2026-06-30,BHSO,EVRG,187500,80.0,15000000,0.6
2026-06-30,BHGF,APXR,500000,120.0,60000000,2.4
2026-06-30,BHCE,APXR,416667,120.0,50000000,2.0
2026-06-30,BHSO,APXR,250000,120.0,30000000,1.2
2026-06-30,BHGF,MDHN,343750,160.0,55000000,2.2
2026-06-30,BHCE,MDHN,250000,160.0,40000000,1.6
2026-06-30,BHSO,MDHN,156250,160.0,25000000,1.0
2026-06-30,BHGF,VTXI,200000,150.0,30000000,1.2
2026-06-30,BHCE,VTXI,166667,150.0,25000000,1.0
2026-06-30,BHSO,VTXI,133333,150.0,20000000,0.8
