document_id,file_name,ticker,company_name,sector,fiscal_quarter,fiscal_year,document_type,source_type,source,publish_date,language,confidentiality,relative_path
NOVA_Q2_2026_earnings_report,NOVA_Q2_2026_earnings_report.pdf,NOVA,NovaChip Technologies,Semiconductors,Q2,2026,earnings_report,primary,company,2026-07-24,en,public_synthetic,data/documents/NOVA/Q2_2026/NOVA_Q2_2026_earnings_report.pdf
NOVA_Q2_2026_earnings_call_transcript,NOVA_Q2_2026_earnings_call_transcript.pdf,NOVA,NovaChip Technologies,Semiconductors,Q2,2026,earnings_call,primary,company,2026-07-24,en,public_synthetic,data/documents/NOVA/Q2_2026/NOVA_Q2_2026_earnings_call_transcript.pdf
NOVA_Q2_2026_investor_update,NOVA_Q2_2026_investor_update.pdf,NOVA,NovaChip Technologies,Semiconductors,Q2,2026,investor_presentation,primary,company,2026-07-24,en,public_synthetic,data/documents/NOVA/Q2_2026/NOVA_Q2_2026_investor_update.pdf
NOVA_Q2_2026_quarterly_filing,NOVA_Q2_2026_quarterly_filing.pdf,NOVA,NovaChip Technologies,Semiconductors,Q2,2026,quarterly_filing,primary,company,2026-07-24,en,public_synthetic,data/documents/NOVA/Q2_2026/NOVA_Q2_2026_quarterly_filing.pdf
NOVA_Q1_2026_outlook_reference,NOVA_Q1_2026_outlook_reference.pdf,NOVA,NovaChip Technologies,Semiconductors,Q1,2026,prior_quarter_outlook,primary,company,2026-04-28,en,public_synthetic,data/documents/NOVA/Q2_2026/NOVA_Q1_2026_outlook_reference.pdf
NOVA_Q2_2026_internal_research_note_1,NOVA_Q2_2026_internal_research_note_1.docx,NOVA,NovaChip Technologies,Semiconductors,Q2,2026,analyst_note,internal,blue_harbor,2026-07-24,en,internal,data/documents/NOVA/Q2_2026/NOVA_Q2_2026_internal_research_note_1.docx
NOVA_Q2_2026_internal_research_note_2,NOVA_Q2_2026_internal_research_note_2.docx,NOVA,NovaChip Technologies,Semiconductors,Q2,2026,analyst_note,internal,blue_harbor,2026-07-24,en,internal,data/documents/NOVA/Q2_2026/NOVA_Q2_2026_internal_research_note_2.docx
NOVA_Q2_2026_external_news_1,NOVA_Q2_2026_external_news_1.html,NOVA,NovaChip Technologies,Semiconductors,Q2,2026,external_news,secondary,marketwire,2026-07-24,en,public_synthetic,data/documents/NOVA/Q2_2026/NOVA_Q2_2026_external_news_1.html
NOVA_Q2_2026_external_news_2,NOVA_Q2_2026_external_news_2.txt,NOVA,NovaChip Technologies,Semiconductors,Q2,2026,external_market_commentary,secondary,marketwire,2026-07-24,en,public_synthetic,data/documents/NOVA/Q2_2026/NOVA_Q2_2026_external_news_2.txt
EVRG_Q2_2026_earnings_report,EVRG_Q2_2026_earnings_report.pdf,EVRG,Evergreen Energy Systems,Renewable Energy,Q2,2026,earnings_report,primary,company,2026-08-02,en,public_synthetic,data/documents/EVRG/Q2_2026/EVRG_Q2_2026_earnings_report.pdf
EVRG_Q2_2026_earnings_call_transcript,EVRG_Q2_2026_earnings_call_transcript.pdf,EVRG,Evergreen Energy Systems,Renewable Energy,Q2,2026,earnings_call,primary,company,2026-08-02,en,public_synthetic,data/documents/EVRG/Q2_2026/EVRG_Q2_2026_earnings_call_transcript.pdf
EVRG_Q2_2026_investor_update,EVRG_Q2_2026_investor_update.pdf,EVRG,Evergreen Energy Systems,Renewable Energy,Q2,2026,investor_presentation,primary,company,2026-08-02,en,public_synthetic,data/documents/EVRG/Q2_2026/EVRG_Q2_2026_investor_update.pdf
EVRG_Q2_2026_quarterly_filing,EVRG_Q2_2026_quarterly_filing.pdf,EVRG,Evergreen Energy Systems,Renewable Energy,Q2,2026,quarterly_filing,primary,company,2026-08-02,en,public_synthetic,data/documents/EVRG/Q2_2026/EVRG_Q2_2026_quarterly_filing.pdf
EVRG_Q1_2026_outlook_reference,EVRG_Q1_2026_outlook_reference.pdf,EVRG,Evergreen Energy Systems,Renewable Energy,Q1,2026,prior_quarter_outlook,primary,company,2026-04-28,en,public_synthetic,data/documents/EVRG/Q2_2026/EVRG_Q1_2026_outlook_reference.pdf
EVRG_Q2_2026_internal_research_note_1,EVRG_Q2_2026_internal_research_note_1.docx,EVRG,Evergreen Energy Systems,Renewable Energy,Q2,2026,analyst_note,internal,blue_harbor,2026-08-02,en,internal,data/documents/EVRG/Q2_2026/EVRG_Q2_2026_internal_research_note_1.docx
EVRG_Q2_2026_internal_research_note_2,EVRG_Q2_2026_internal_research_note_2.docx,EVRG,Evergreen Energy Systems,Renewable Energy,Q2,2026,analyst_note,internal,blue_harbor,2026-08-02,en,internal,data/documents/EVRG/Q2_2026/EVRG_Q2_2026_internal_research_note_2.docx
EVRG_Q2_2026_external_news_1,EVRG_Q2_2026_external_news_1.html,EVRG,Evergreen Energy Systems,Renewable Energy,Q2,2026,external_news,secondary,marketwire,2026-08-02,en,public_synthetic,data/documents/EVRG/Q2_2026/EVRG_Q2_2026_external_news_1.html
EVRG_Q2_2026_external_news_2,EVRG_Q2_2026_external_news_2.txt,EVRG,Evergreen Energy Systems,Renewable Energy,Q2,2026,external_market_commentary,secondary,marketwire,2026-08-02,en,public_synthetic,data/documents/EVRG/Q2_2026/EVRG_Q2_2026_external_news_2.txt
APXR_Q2_2026_earnings_report,APXR_Q2_2026_earnings_report.pdf,APXR,Apex Retail Group,Consumer Retail,Q2,2026,earnings_report,primary,company,2026-08-10,en,public_synthetic,data/documents/APXR/Q2_2026/APXR_Q2_2026_earnings_report.pdf
APXR_Q2_2026_earnings_call_transcript,APXR_Q2_2026_earnings_call_transcript.pdf,APXR,Apex Retail Group,Consumer Retail,Q2,2026,earnings_call,primary,company,2026-08-10,en,public_synthetic,data/documents/APXR/Q2_2026/APXR_Q2_2026_earnings_call_transcript.pdf
APXR_Q2_2026_investor_update,APXR_Q2_2026_investor_update.pdf,APXR,Apex Retail Group,Consumer Retail,Q2,2026,investor_presentation,primary,company,2026-08-10,en,public_synthetic,data/documents/APXR/Q2_2026/APXR_Q2_2026_investor_update.pdf
APXR_Q2_2026_quarterly_filing,APXR_Q2_2026_quarterly_filing.pdf,APXR,Apex Retail Group,Consumer Retail,Q2,2026,quarterly_filing,primary,company,2026-08-10,en,public_synthetic,data/documents/APXR/Q2_2026/APXR_Q2_2026_quarterly_filing.pdf
APXR_Q1_2026_outlook_reference,APXR_Q1_2026_outlook_reference.pdf,APXR,Apex Retail Group,Consumer Retail,Q1,2026,prior_quarter_outlook,primary,company,2026-04-28,en,public_synthetic,data/documents/APXR/Q2_2026/APXR_Q1_2026_outlook_reference.pdf
