price_date,ticker,close_price_usd
2026-06-26,NOVA,108
2026-06-29,NOVA,111
2026-06-30,NOVA,110
2026-07-31,NOVA,102
2026-08-14,NOVA,99
2026-08-28,NOVA,101
2026-06-26,EVRG,82
2026-06-29,EVRG,81
2026-06-30,EVRG,80
2026-07-31,EVRG,76
2026-08-14,EVRG,75
2026-08-28,EVRG,77
2026-06-26,APXR,118
2026-06-29,APXR,119
2026-06-30,APXR,120
2026-07-31,APXR,121
2026-08-14,APXR,123
2026-08-28,APXR,122
2026-06-26,MDHN,154
2026-06-29,MDHN,156
2026-06-30,MDHN,160
2026-07-31,MDHN,166
2026-08-14,MDHN,168
2026-08-28,MDHN,170
2026-06-26,VTXI,148
2026-06-29,VTXI,149
2026-06-30,VTXI,150
2026-07-31,VTXI,151
2026-08-14,VTXI,150
2026-08-28,VTXI,152
